_raw_row_id,vin,trigger,signal,scalar,series,timestamp,ingestion_timestamp,fuel,hyb,model
2,VIN000,Vehicle/Trigger/StartOfJourney,lastKnownLocationAltitude,70.0,,2026-02-13 07:00:00+00:00,2026-02-13 07:00:01+00:00,electric,bev,fixture
0,VIN000,Vehicle/Trigger/StartOfJourney,locationLatitude,48.8,,2026-02-13 07:00:00+00:00,2026-02-13 07:00:01+00:00,electric,bev,fixture
1,VIN000,Vehicle/Trigger/StartOfJourney,locationLongitude,2.2,,2026-02-13 07:00:00+00:00,2026-02-13 07:00:01+00:00,electric,bev,fixture
8,VIN000,UCD/Sent/Trigger/Trg_periodic_5_seconds,lastKnownLocationAltitude,,"[70.0, 70.5, 71.0, 71.5, 72.0]",2026-02-13 07:08:00+00:00,2026-02-13 07:08:01+00:00,electric,bev,fixture
6,VIN000,UCD/Sent/Trigger/Trg_periodic_5_seconds,locationLatitude,,"[48.8, 48.8025, 48.805, 48.8075, 48.81]",2026-02-13 07:08:00+00:00,2026-02-13 07:08:01+00:00,electric,bev,fixture
7,VIN000,UCD/Sent/Trigger/Trg_periodic_5_seconds,locationLongitude,,"[2.2, 2.202, 2.204, 2.206, 2.208]",2026-02-13 07:08:00+00:00,2026-02-13 07:08:01+00:00,electric,bev,fixture
5,VIN000,Vehicle/Trigger/EndOfJourney,lastKnownLocationAltitude,72.0,,2026-02-13 07:08:00+00:00,2026-02-13 07:08:01+00:00,electric,bev,fixture
3,VIN000,Vehicle/Trigger/EndOfJourney,locationLatitude,48.81,,2026-02-13 07:08:00+00:00,2026-02-13 07:08:01+00:00,electric,bev,fixture
4,VIN000,Vehicle/Trigger/EndOfJourney,locationLongitude,2.208,,2026-02-13 07:08:00+00:00,2026-02-13 07:08:01+00:00,electric,bev,fixture
11,VIN000,Vehicle/Trigger/StartOfJourney,lastKnownLocationAltitude,70.0,,2026-02-13 10:00:00+00:00,2026-02-13 10:00:01+00:00,electric,bev,fixture
9,VIN000,Vehicle/Trigger/StartOfJourney,locationLatitude,48.803,,2026-02-13 10:00:00+00:00,2026-02-13 10:00:01+00:00,electric,bev,fixture
10,VIN000,Vehicle/Trigger/StartOfJourney,locationLongitude,2.204,,2026-02-13 10:00:00+00:00,2026-02-13 10:00:01+00:00,electric,bev,fixture
17,VIN000,UCD/Sent/Trigger/Trg_periodic_5_seconds,lastKnownLocationAltitude,,"[70.0, 70.4, 70.8, 71.2, 71.6, 72.0]",2026-02-13 10:09:00+00:00,2026-02-13 10:09:01+00:00,electric,bev,fixture
15,VIN000,UCD/Sent/Trigger/Trg_periodic_5_seconds,locationLatitude,,"[48.803, 48.8058, 48.8086, 48.8114, 48.8142, 48.817]",2026-02-13 10:09:00+00:00,2026-02-13 10:09:01+00:00,electric,bev,fixture
16,VIN000,UCD/Sent/Trigger/Trg_periodic_5_seconds,locationLongitude,,"[2.204, 2.2062, 2.2084, 2.2106, 2.2128, 2.215]",2026-02-13 10:09:00+00:00,2026-02-13 10:09:01+00:00,electric,bev,fixture
14,VIN000,Vehicle/Trigger/EndOfJourney,lastKnownLocationAltitude,72.0,,2026-02-13 10:09:00+00:00,2026-02-13 10:09:01+00:00,electric,bev,fixture
12,VIN000,Vehicle/Trigger/EndOfJourney,locationLatitude,48.817,,2026-02-13 10:09:00+00:00,2026-02-13 10:09:01+00:00,electric,bev,fixture
13,VIN000,Vehicle/Trigger/EndOfJourney,locationLongitude,2.215,,2026-02-13 10:09:00+00:00,2026-02-13 10:09:01+00:00,electric,bev,fixture
20,VIN000,Vehicle/Trigger/StartOfJourney,lastKnownLocationAltitude,70.0,,2026-02-13 13:00:00+00:00,2026-02-13 13:00:01+00:00,electric,bev,fixture
18,VIN000,Vehicle/Trigger/StartOfJourney,locationLatitude,48.806,,2026-02-13 13:00:00+00:00,2026-02-13 13:00:01+00:00,electric,bev,fixture
19,VIN000,Vehicle/Trigger/StartOfJourney,locationLongitude,2.208,,2026-02-13 13:00:00+00:00,2026-02-13 13:00:01+00:00,electric,bev,fixture
26,VIN000,UCD/Sent/Trigger/Trg_periodic_5_seconds,lastKnownLocationAltitude,,"[70.0, 70.3, 70.7, 71.0, 71.3, 71.7, 72.0]",2026-02-13 13:10:00+00:00,2026-02-13 13:10:01+00:00,electric,bev,fixture
24,VIN000,UCD/Sent/Trigger/Trg_periodic_5_seconds,locationLatitude,,"[48.806, 48.809, 48.812, 48.815, 48.818, 48.821, 48.824]",2026-02-13 13:10:00+00:00,2026-02-13 13:10:01+00:00,electric,bev,fixture
25,VIN000,UCD/Sent/Trigger/Trg_periodic_5_seconds,locationLongitude,,"[2.208, 2.2103333, 2.2126667, 2.215, 2.2173333, 2.2196667, 2.222]",2026-02-13 13:10:00+00:00,2026-02-13 13:10:01+00:00,electric,bev,fixture
23,VIN000,Vehicle/Trigger/EndOfJourney,lastKnownLocationAltitude,72.0,,2026-02-13 13:10:00+00:00,2026-02-13 13:10:01+00:00,electric,bev,fixture
21,VIN000,Vehicle/Trigger/EndOfJourney,locationLatitude,48.824,,2026-02-13 13:10:00+00:00,2026-02-13 13:10:01+00:00,electric,bev,fixture
22,VIN000,Vehicle/Trigger/EndOfJourney,locationLongitude,2.222,,2026-02-13 13:10:00+00:00,2026-02-13 13:10:01+00:00,electric,bev,fixture
29,VIN000,Vehicle/Trigger/StartOfJourney,lastKnownLocationAltitude,70.0,,2026-02-13 16:00:00+00:00,2026-02-13 16:00:01+00:00,electric,bev,fixture
27,VIN000,Vehicle/Trigger/StartOfJourney,locationLatitude,48.809,,2026-02-13 16:00:00+00:00,2026-02-13 16:00:01+00:00,electric,bev,fixture
28,VIN000,Vehicle/Trigger/StartOfJourney,locationLongitude,2.212,,2026-02-13 16:00:00+00:00,2026-02-13 16:00:01+00:00,electric,bev,fixture
35,VIN000,UCD/Sent/Trigger/Trg_periodic_5_seconds,lastKnownLocationAltitude,,"[70.0, 70.5, 71.0, 71.5, 72.0]",2026-02-13 16:11:00+00:00,2026-02-13 16:11:01+00:00,electric,bev,fixture
