trip_id,VIN,point_index,point_role,timestamp,elapsed_seconds,latitude,longitude,altitude_m,segment_distance_m,cumulative_distance_m,segment_speed_kmh,timestamp_method
VIN000_20260213T070000Z_0001,VIN000,0,start,2026-02-13T07:00:00+00:00,0.0,48.8,2.2,70.0,0.0,0.0,0.0,interpolated_between_trip_triggers
VIN000_20260213T070000Z_0001,VIN000,1,trajectory,2026-02-13T07:02:00+00:00,120.0,48.8025,2.202,70.5,314.22,314.22,9.427,interpolated_between_trip_triggers
VIN000_20260213T070000Z_0001,VIN000,2,trajectory,2026-02-13T07:04:00+00:00,240.0,48.805,2.204,71.0,314.217,628.437,9.427,interpolated_between_trip_triggers
VIN000_20260213T070000Z_0001,VIN000,3,trajectory,2026-02-13T07:06:00+00:00,360.0,48.8075,2.206,71.5,314.213,942.65,9.426,interpolated_between_trip_triggers
VIN000_20260213T070000Z_0001,VIN000,4,destination,2026-02-13T07:08:00+00:00,480.0,48.81,2.208,72.0,314.21,1256.86,9.426,interpolated_between_trip_triggers
VIN000_20260213T100000Z_0002,VIN000,0,start,2026-02-13T10:00:00+00:00,0.0,48.803,2.204,70.0,0.0,0.0,0.0,interpolated_between_trip_triggers
VIN000_20260213T100000Z_0002,VIN000,1,trajectory,2026-02-13T10:01:48+00:00,108.0,48.8058,2.2062,70.4,350.566,350.566,11.686,interpolated_between_trip_triggers
VIN000_20260213T100000Z_0002,VIN000,2,trajectory,2026-02-13T10:03:36+00:00,216.0,48.8086,2.2084,70.8,350.562,701.127,11.685,interpolated_between_trip_triggers
VIN000_20260213T100000Z_0002,VIN000,3,trajectory,2026-02-13T10:05:24+00:00,324.0,48.8114,2.2106,71.2,350.557,1051.685,11.685,interpolated_between_trip_triggers
VIN000_20260213T100000Z_0002,VIN000,4,trajectory,2026-02-13T10:07:12+00:00,432.0,48.8142,2.2128,71.6,350.553,1402.238,11.685,interpolated_between_trip_triggers
VIN000_20260213T100000Z_0002,VIN000,5,destination,2026-02-13T10:09:00+00:00,540.0,48.817,2.215,72.0,350.549,1752.787,11.685,interpolated_between_trip_triggers
VIN000_20260213T130000Z_0003,VIN000,0,start,2026-02-13T13:00:00+00:00,0.0,48.806,2.208,70.0,0.0,0.0,0.0,interpolated_between_trip_triggers
VIN000_20260213T130000Z_0003,VIN000,1,trajectory,2026-02-13T13:01:40+00:00,100.0,48.809,2.2103333,70.3,374.802,374.802,13.493,interpolated_between_trip_triggers
VIN000_20260213T130000Z_0003,VIN000,2,trajectory,2026-02-13T13:03:20+00:00,200.0,48.812,2.2126667,70.7,374.801,749.603,13.493,interpolated_between_trip_triggers
VIN000_20260213T130000Z_0003,VIN000,3,trajectory,2026-02-13T13:05:00+00:00,300.0,48.815,2.215,71.0,374.793,1124.395,13.493,interpolated_between_trip_triggers
VIN000_20260213T130000Z_0003,VIN000,4,trajectory,2026-02-13T13:06:40+00:00,400.0,48.818,2.2173333,71.3,374.788,1499.183,13.492,interpolated_between_trip_triggers
VIN000_20260213T130000Z_0003,VIN000,5,trajectory,2026-02-13T13:08:20+00:00,500.0,48.821,2.2196667,71.7,374.787,1873.97,13.492,interpolated_between_trip_triggers
VIN000_20260213T130000Z_0003,VIN000,6,destination,2026-02-13T13:10:00+00:00,600.0,48.824,2.222,72.0,374.779,2248.748,13.492,interpolated_between_trip_triggers
VIN000_20260213T160000Z_0004,VIN000,0,start,2026-02-13T16:00:00+00:00,0.0,48.809,2.212,70.0,0.0,0.0,0.0,interpolated_between_trip_triggers
VIN000_20260213T160000Z_0004,VIN000,1,trajectory,2026-02-13T16:02:45+00:00,165.0,48.8115,2.21625,70.5,417.294,417.294,9.105,interpolated_between_trip_triggers
VIN000_20260213T160000Z_0004,VIN000,2,trajectory,2026-02-13T16:05:30+00:00,330.0,48.814,2.2205,71.0,417.283,834.577,9.104,interpolated_between_trip_triggers
VIN000_20260213T160000Z_0004,VIN000,3,trajectory,2026-02-13T16:08:15+00:00,495.0,48.8165,2.22475,71.5,417.271,1251.848,9.104,interpolated_between_trip_triggers
VIN000_20260213T160000Z_0004,VIN000,4,destination,2026-02-13T16:11:00+00:00,660.0,48.819,2.229,72.0,417.26,1669.108,9.104,interpolated_between_trip_triggers
VIN000_20260213T190000Z_0005,VIN000,0,start,2026-02-13T19:00:00+00:00,0.0,48.812,2.216,70.0,0.0,0.0,0.0,interpolated_between_trip_triggers
VIN000_20260213T190000Z_0005,VIN000,1,trajectory,2026-02-13T19:02:24+00:00,144.0,48.8148,2.2176,70.4,332.66,332.66,8.316,interpolated_between_trip_triggers
VIN000_20260213T190000Z_0005,VIN000,2,trajectory,2026-02-13T19:04:48+00:00,288.0,48.8176,2.2192,70.8,332.657,665.317,8.316,interpolated_between_trip_triggers
VIN000_20260213T190000Z_0005,VIN000,3,trajectory,2026-02-13T19:07:12+00:00,432.0,48.8204,2.2208,71.2,332.655,997.972,8.316,interpolated_between_trip_triggers
VIN000_20260213T190000Z_0005,VIN000,4,trajectory,2026-02-13T19:09:36+00:00,576.0,48.8232,2.2224,71.6,332.653,1330.624,8.316,interpolated_between_trip_triggers
VIN000_20260213T190000Z_0005,VIN000,5,destination,2026-02-13T19:12:00+00:00,720.0,48.826,2.224,72.0,332.65,1663.275,8.316,interpolated_between_trip_triggers
VIN001_20260213T070000Z_0001,VIN001,0,start,2026-02-13T07:00:00+00:00,0.0,48.83,2.22,70.0,0.0,0.0,0.0,interpolated_between_trip_triggers
VIN001_20260213T070000Z_0001,VIN001,1,trajectory,2026-02-13T07:02:00+00:00,120.0,48.8325,2.222,70.5,314.179,314.179,9.425,interpolated_between_trip_triggers
VIN001_20260213T070000Z_0001,VIN001,2,trajectory,2026-02-13T07:04:00+00:00,240.0,48.835,2.224,71.0,314.176,628.355,9.425,interpolated_between_trip_triggers
VIN001_20260213T070000Z_0001,VIN001,3,trajectory,2026-02-13T07:06:00+00:00,360.0,48.8375,2.226,71.5,314.172,942.527,9.425,interpolated_between_trip_triggers
VIN001_20260213T070000Z_0001,VIN001,4,destination,2026-02-13T07:08:00+00:00,480.0,48.84,2.228,72.0,314.169,1256.697,9.425,interpolated_between_trip_triggers
VIN001_20260213T100000Z_0002,VIN001,0,start,2026-02-13T10:00:00+00:00,0.0,48.833,2.224,70.0,0.0,0.0,0.0,interpolated_between_trip_triggers
VIN001_20260213T100000Z_0002,VIN001,1,trajectory,2026-02-13T10:01:48+00:00,108.0,48.8358,2.2262,70.4,350.521,350.521,11.684,interpolated_between_trip_triggers
VIN001_20260213T100000Z_0002,VIN001,2,trajectory,2026-02-13T10:03:36+00:00,216.0,48.8386,2.2284,70.8,350.517,701.039,11.684,interpolated_between_trip_triggers
VIN001_20260213T100000Z_0002,VIN001,3,trajectory,2026-02-13T10:05:24+00:00,324.0,48.8414,2.2306,71.2,350.513,1051.552,11.684,interpolated_between_trip_triggers
VIN001_20260213T100000Z_0002,VIN001,4,trajectory,2026-02-13T10:07:12+00:00,432.0,48.8442,2.2328,71.6,350.509,1402.061,11.684,interpolated_between_trip_triggers
VIN001_20260213T100000Z_0002,VIN001,5,destination,2026-02-13T10:09:00+00:00,540.0,48.847,2.235,72.0,350.505,1752.566,11.683,interpolated_between_trip_triggers
VIN001_20260213T130000Z_0003,VIN001,0,start,2026-02-13T13:00:00+00:00,0.0,48.836,2.228,70.0,0.0,0.0,0.0,interpolated_between_trip_triggers
VIN001_20260213T130000Z_0003,VIN001,1,trajectory,2026-02-13T13:01:40+00:00,100.0,48.839,2.2303333,70.3,374.755,374.755,13.491,interpolated_between_trip_triggers
VIN001_20260213T130000Z_0003,VIN001,2,trajectory,2026-02-13T13:03:20+00:00,200.0,48.842,2.2326667,70.7,374.754,749.509,13.491,interpolated_between_trip_triggers
VIN001_20260213T130000Z_0003,VIN001,3,trajectory,2026-02-13T13:05:00+00:00,300.0,48.845,2.235,71.0,374.746,1124.255,13.491,interpolated_between_trip_triggers
VIN001_20260213T130000Z_0003,VIN001,4,trajectory,2026-02-13T13:06:40+00:00,400.0,48.848,2.2373333,71.3,374.741,1498.997,13.491,interpolated_between_trip_triggers
