VIN,trip_id,StartTrip,EndTrip,Trajectory,AltitudeTrajectory,start_latitude,start_longitude,start_altitude_m,end_latitude,end_longitude,end_altitude_m,duration_seconds,duration_minutes,distance_m,distance_km,straight_line_distance_m,average_speed_kmh,max_segment_speed_kmh,point_count,quality_status,quality_flags,trajectory_timestamp_method,fuel,hyb,model
VIN000,VIN000_20260213T070000Z_0001,2026-02-13T07:00:00+00:00,2026-02-13T07:08:00+00:00,"[[48.8,2.2],[48.8025,2.202],[48.805,2.204],[48.8075,2.206],[48.81,2.208]]","[70.0,70.5,71.0,71.5,72.0]",48.8,2.2,70.0,48.81,2.208,72.0,480.0,8.0,1256.86,1.25686,1256.86,9.426,9.427,5,accepted,[],interpolated_between_trip_triggers,electric,bev,fixture
VIN000,VIN000_20260213T100000Z_0002,2026-02-13T10:00:00+00:00,2026-02-13T10:09:00+00:00,"[[48.803,2.204],[48.8058,2.2062],[48.8086,2.2084],[48.8114,2.2106],[48.8142,2.2128],[48.817,2.215]]","[70.0,70.4,70.8,71.2,71.6,72.0]",48.803,2.204,70.0,48.817,2.215,72.0,540.0,9.0,1752.787,1.752787,1752.787,11.685,11.686,6,accepted,[],interpolated_between_trip_triggers,electric,bev,fixture
VIN000,VIN000_20260213T130000Z_0003,2026-02-13T13:00:00+00:00,2026-02-13T13:10:00+00:00,"[[48.806,2.208],[48.809,2.2103333],[48.812,2.2126667],[48.815,2.215],[48.818,2.2173333],[48.821,2.2196667],[48.824,2.222]]","[70.0,70.3,70.7,71.0,71.3,71.7,72.0]",48.806,2.208,70.0,48.824,2.222,72.0,600.0,10.0,2248.748,2.248748,2248.748,13.492,13.493,7,accepted,[],interpolated_between_trip_triggers,electric,bev,fixture
VIN000,VIN000_20260213T160000Z_0004,2026-02-13T16:00:00+00:00,2026-02-13T16:11:00+00:00,"[[48.809,2.212],[48.8115,2.21625],[48.814,2.2205],[48.8165,2.22475],[48.819,2.229]]","[70.0,70.5,71.0,71.5,72.0]",48.809,2.212,70.0,48.819,2.229,72.0,660.0,11.0,1669.108,1.669108,1669.108,9.104,9.105,5,accepted,[],interpolated_between_trip_triggers,electric,bev,fixture
VIN000,VIN000_20260213T190000Z_0005,2026-02-13T19:00:00+00:00,2026-02-13T19:12:00+00:00,"[[48.812,2.216],[48.8148,2.2176],[48.8176,2.2192],[48.8204,2.2208],[48.8232,2.2224],[48.826,2.224]]","[70.0,70.4,70.8,71.2,71.6,72.0]",48.812,2.216,70.0,48.826,2.224,72.0,720.0,12.0,1663.275,1.663275,1663.275,8.316,8.316,6,accepted,[],interpolated_between_trip_triggers,electric,bev,fixture
VIN001,VIN001_20260213T070000Z_0001,2026-02-13T07:00:00+00:00,2026-02-13T07:08:00+00:00,"[[48.83,2.22],[48.8325,2.222],[48.835,2.224],[48.8375,2.226],[48.84,2.228]]","[70.0,70.5,71.0,71.5,72.0]",48.83,2.22,70.0,48.84,2.228,72.0,480.0,8.0,1256.697,1.256697,1256.697,9.425,9.425,5,accepted,[],interpolated_between_trip_triggers,electric,bev,fixture
VIN001,VIN001_20260213T100000Z_0002,2026-02-13T10:00:00+00:00,2026-02-13T10:09:00+00:00,"[[48.833,2.224],[48.8358,2.2262],[48.8386,2.2284],[48.8414,2.2306],[48.8442,2.2328],[48.847,2.235]]","[70.0,70.4,70.8,71.2,71.6,72.0]",48.833,2.224,70.0,48.847,2.235,72.0,540.0,9.0,1752.566,1.752566,1752.566,11.684,11.684,6,accepted,[],interpolated_between_trip_triggers,electric,bev,fixture
VIN001,VIN001_20260213T130000Z_0003,2026-02-13T13:00:00+00:00,2026-02-13T13:10:00+00:00,"[[48.836,2.228],[48.839,2.2303333],[48.842,2.2326667],[48.845,2.235],[48.848,2.2373333],[48.851,2.2396667],[48.854,2.242]]","[70.0,70.3,70.7,71.0,71.3,71.7,72.0]",48.836,2.228,70.0,48.854,2.242,72.0,600.0,10.0,2248.469,2.248469,2248.469,13.491,13.491,7,accepted,[],interpolated_between_trip_triggers,electric,bev,fixture
VIN001,VIN001_20260213T160000Z_0004,2026-02-13T16:00:00+00:00,2026-02-13T16:11:00+00:00,"[[48.839,2.232],[48.8415,2.23625],[48.844,2.2405],[48.8465,2.24475],[48.849,2.249]]","[70.0,70.5,71.0,71.5,72.0]",48.839,2.232,70.0,48.849,2.249,72.0,660.0,11.0,1668.552,1.668552,1668.552,9.101,9.102,5,accepted,[],interpolated_between_trip_triggers,electric,bev,fixture
VIN001,VIN001_20260213T190000Z_0005,2026-02-13T19:00:00+00:00,2026-02-13T19:12:00+00:00,"[[48.842,2.236],[48.8448,2.2376],[48.8476,2.2392],[48.8504,2.2408],[48.8532,2.2424],[48.856,2.244]]","[70.0,70.4,70.8,71.2,71.6,72.0]",48.842,2.236,70.0,48.856,2.244,72.0,720.0,12.0,1663.151,1.663151,1663.151,8.316,8.316,6,accepted,[],interpolated_between_trip_triggers,electric,bev,fixture
VIN002,VIN002_20260213T070000Z_0001,2026-02-13T07:00:00+00:00,2026-02-13T07:08:00+00:00,"[[48.86,2.24],[48.8625,2.242],[48.865,2.244],[48.8675,2.246],[48.87,2.248]]","[70.0,70.5,71.0,71.5,72.0]",48.86,2.24,70.0,48.87,2.248,72.0,480.0,8.0,1256.533,1.256533,1256.533,9.424,9.424,5,accepted,[],interpolated_between_trip_triggers,electric,bev,fixture
VIN002,VIN002_20260213T100000Z_0002,2026-02-13T10:00:00+00:00,2026-02-13T10:09:00+00:00,"[[48.863,2.244],[48.8658,2.2462],[48.8686,2.2484],[48.8714,2.2506],[48.8742,2.2528],[48.877,2.255]]","[70.0,70.4,70.8,71.2,71.6,72.0]",48.863,2.244,70.0,48.877,2.255,72.0,540.0,9.0,1752.344,1.752344,1752.344,11.682,11.683,6,accepted,[],interpolated_between_trip_triggers,electric,bev,fixture
VIN002,VIN002_20260213T130000Z_0003,2026-02-13T13:00:00+00:00,2026-02-13T13:10:00+00:00,"[[48.866,2.248],[48.869,2.2503333],[48.872,2.2526667],[48.875,2.255],[48.878,2.2573333],[48.881,2.2596667],[48.884,2.262]]","[70.0,70.3,70.7,71.0,71.3,71.7,72.0]",48.866,2.248,70.0,48.884,2.262,72.0,600.0,10.0,2248.189,2.248189,2248.189,13.489,13.49,7,accepted,[],interpolated_between_trip_triggers,electric,bev,fixture
VIN002,VIN002_20260213T160000Z_0004,2026-02-13T16:00:00+00:00,2026-02-13T16:11:00+00:00,"[[48.869,2.252],[48.8715,2.25625],[48.874,2.2605],[48.8765,2.26475],[48.879,2.269]]","[70.0,70.5,71.0,71.5,72.0]",48.869,2.252,70.0,48.879,2.269,72.0,660.0,11.0,1667.997,1.667997,1667.997,9.098,9.099,5,accepted,[],interpolated_between_trip_triggers,electric,bev,fixture
VIN002,VIN002_20260213T190000Z_0005,2026-02-13T19:00:00+00:00,2026-02-13T19:12:00+00:00,"[[48.872,2.256],[48.8748,2.2576],[48.8776,2.2592],[48.8804,2.2608],[48.8832,2.2624],[48.886,2.264]]","[70.0,70.4,70.8,71.2,71.6,72.0]",48.872,2.256,70.0,48.886,2.264,72.0,720.0,12.0,1663.028,1.663028,1663.028,8.315,8.315,6,accepted,[],interpolated_between_trip_triggers,electric,bev,fixture
