vin,triggerOrContext,name,scalarValue,timeSeriesValue,vehicleCollectionTime,inCdpTime,fuel,hyb,model
VIN000,Vehicle/Trigger/StartOfJourney,locationLatitude,48.8,,2026-02-13T07:00:00Z,2026-02-13T07:00:01Z,electric,bev,fixture
VIN000,Vehicle/Trigger/StartOfJourney,locationLongitude,2.2,,2026-02-13T07:00:00Z,2026-02-13T07:00:01Z,electric,bev,fixture
VIN000,Vehicle/Trigger/StartOfJourney,lastKnownLocationAltitude,70.0,,2026-02-13T07:00:00Z,2026-02-13T07:00:01Z,electric,bev,fixture
VIN000,Vehicle/Trigger/EndOfJourney,locationLatitude,48.81,,2026-02-13T07:08:00Z,2026-02-13T07:08:01Z,electric,bev,fixture
VIN000,Vehicle/Trigger/EndOfJourney,locationLongitude,2.208,,2026-02-13T07:08:00Z,2026-02-13T07:08:01Z,electric,bev,fixture
VIN000,Vehicle/Trigger/EndOfJourney,lastKnownLocationAltitude,72.0,,2026-02-13T07:08:00Z,2026-02-13T07:08:01Z,electric,bev,fixture
VIN000,UCD/Sent/Trigger/Trg_periodic_5_seconds,locationLatitude,,"[48.8, 48.8025, 48.805, 48.8075, 48.81]",2026-02-13T07:08:00Z,2026-02-13T07:08:01Z,electric,bev,fixture
VIN000,UCD/Sent/Trigger/Trg_periodic_5_seconds,locationLongitude,,"[2.2, 2.202, 2.204, 2.206, 2.208]",2026-02-13T07:08:00Z,2026-02-13T07:08:01Z,electric,bev,fixture
VIN000,UCD/Sent/Trigger/Trg_periodic_5_seconds,lastKnownLocationAltitude,,"[70.0, 70.5, 71.0, 71.5, 72.0]",2026-02-13T07:08:00Z,2026-02-13T07:08:01Z,electric,bev,fixture
VIN000,Vehicle/Trigger/StartOfJourney,locationLatitude,48.803,,2026-02-13T10:00:00Z,2026-02-13T10:00:01Z,electric,bev,fixture
VIN000,Vehicle/Trigger/StartOfJourney,locationLongitude,2.204,,2026-02-13T10:00:00Z,2026-02-13T10:00:01Z,electric,bev,fixture
VIN000,Vehicle/Trigger/StartOfJourney,lastKnownLocationAltitude,70.0,,2026-02-13T10:00:00Z,2026-02-13T10:00:01Z,electric,bev,fixture
VIN000,Vehicle/Trigger/EndOfJourney,locationLatitude,48.817,,2026-02-13T10:09:00Z,2026-02-13T10:09:01Z,electric,bev,fixture
VIN000,Vehicle/Trigger/EndOfJourney,locationLongitude,2.215,,2026-02-13T10:09:00Z,2026-02-13T10:09:01Z,electric,bev,fixture
VIN000,Vehicle/Trigger/EndOfJourney,lastKnownLocationAltitude,72.0,,2026-02-13T10:09:00Z,2026-02-13T10:09:01Z,electric,bev,fixture
VIN000,UCD/Sent/Trigger/Trg_periodic_5_seconds,locationLatitude,,"[48.803, 48.8058, 48.8086, 48.8114, 48.8142, 48.817]",2026-02-13T10:09:00Z,2026-02-13T10:09:01Z,electric,bev,fixture
VIN000,UCD/Sent/Trigger/Trg_periodic_5_seconds,locationLongitude,,"[2.204, 2.2062, 2.2084, 2.2106, 2.2128, 2.215]",2026-02-13T10:09:00Z,2026-02-13T10:09:01Z,electric,bev,fixture
VIN000,UCD/Sent/Trigger/Trg_periodic_5_seconds,lastKnownLocationAltitude,,"[70.0, 70.4, 70.8, 71.2, 71.6, 72.0]",2026-02-13T10:09:00Z,2026-02-13T10:09:01Z,electric,bev,fixture
VIN000,Vehicle/Trigger/StartOfJourney,locationLatitude,48.806,,2026-02-13T13:00:00Z,2026-02-13T13:00:01Z,electric,bev,fixture
VIN000,Vehicle/Trigger/StartOfJourney,locationLongitude,2.208,,2026-02-13T13:00:00Z,2026-02-13T13:00:01Z,electric,bev,fixture
VIN000,Vehicle/Trigger/StartOfJourney,lastKnownLocationAltitude,70.0,,2026-02-13T13:00:00Z,2026-02-13T13:00:01Z,electric,bev,fixture
VIN000,Vehicle/Trigger/EndOfJourney,locationLatitude,48.824,,2026-02-13T13:10:00Z,2026-02-13T13:10:01Z,electric,bev,fixture
VIN000,Vehicle/Trigger/EndOfJourney,locationLongitude,2.222,,2026-02-13T13:10:00Z,2026-02-13T13:10:01Z,electric,bev,fixture
VIN000,Vehicle/Trigger/EndOfJourney,lastKnownLocationAltitude,72.0,,2026-02-13T13:10:00Z,2026-02-13T13:10:01Z,electric,bev,fixture
VIN000,UCD/Sent/Trigger/Trg_periodic_5_seconds,locationLatitude,,"[48.806, 48.809, 48.812, 48.815, 48.818, 48.821, 48.824]",2026-02-13T13:10:00Z,2026-02-13T13:10:01Z,electric,bev,fixture
VIN000,UCD/Sent/Trigger/Trg_periodic_5_seconds,locationLongitude,,"[2.208, 2.2103333, 2.2126667, 2.215, 2.2173333, 2.2196667, 2.222]",2026-02-13T13:10:00Z,2026-02-13T13:10:01Z,electric,bev,fixture
VIN000,UCD/Sent/Trigger/Trg_periodic_5_seconds,lastKnownLocationAltitude,,"[70.0, 70.3, 70.7, 71.0, 71.3, 71.7, 72.0]",2026-02-13T13:10:00Z,2026-02-13T13:10:01Z,electric,bev,fixture
